,dataset_name,category,avg(mx),avg(ag)
0,brightening_100,color,0.03396289898817567,0.03396289898817567
1,brightening_100,object,0.09803422975868743,0.07229377464222228
2,brightening_100,part,0.09098918967940164,0.05816035021030553
3,brightening_100,scene,0.08484177277953948,0.06837737695250302
4,brightening_100,texture,0.0754743919438424,0.06647758469324844
5,brightening_50,color,0.03378443278891442,0.03378443278891442
6,brightening_50,object,0.09933313611372989,0.07278588117321161
7,brightening_50,part,0.09099632613249833,0.05826245318578565
8,brightening_50,scene,0.08458525028196738,0.06808610218176446
9,brightening_50,texture,0.07553442699100058,0.06646778862606563
10,brightening_attack_100,color,0.04275050260556555,0.04275050260556555
11,brightening_attack_100,object,0.09646578448487163,0.07212639155290496
12,brightening_attack_100,part,0.09411711066985183,0.06494509287845242
13,brightening_attack_100,scene,0.08604898309051896,0.07009491786744677
14,brightening_attack_100,texture,0.08296781202943618,0.07053330948926292
15,brightening_attack_100_dilate_10,color,0.04297203575568116,0.04297203575568116
16,brightening_attack_100_dilate_10,object,0.09593445311555364,0.0719977170346193
17,brightening_attack_100_dilate_10,part,0.09433400412411269,0.0652950340558701
18,brightening_attack_100_dilate_10,scene,0.0858103950859785,0.07003155250827105
19,brightening_attack_100_dilate_10,texture,0.08310013098397992,0.07014502065381345
20,gaussian_100,color,0.03546353174743179,0.025257744161334958
21,gaussian_100,object,0.024132750096894025,0.01995191553182881
22,gaussian_100,part,0.020506400443560925,0.016303583206185645
23,gaussian_100,scene,0.0202331793645545,0.017951351745905255
24,gaussian_100,texture,0.04400223406371922,0.026363403185910034
25,gaussian_50,color,0.023908072929771432,0.020951317740173902
26,gaussian_50,object,0.044766714322118484,0.03145188733953227
27,gaussian_50,part,0.04075898510550523,0.028621318410067115
28,gaussian_50,scene,0.03456887787036805,0.028166727216227712
29,gaussian_50,texture,0.05494509869709674,0.03737995132075579
30,gaussian_attack_100,color,0.042702411682475176,0.042702411682475176
31,gaussian_attack_100,object,0.10165720883641154,0.07247044724296411
32,gaussian_attack_100,part,0.09413380593880953,0.06370532760444486
33,gaussian_attack_100,scene,0.08619979792492814,0.07076944123979896
34,gaussian_attack_100,texture,0.08045334723444493,0.0675764912372655
35,gaussian_attack_100_dilation_10,color,0.042867594801193024,0.042867594801193024
36,gaussian_attack_100_dilation_10,object,0.10103139499376729,0.07120860139527252
37,gaussian_attack_100_dilation_10,part,0.09409073974607184,0.06330308396931274
38,gaussian_attack_100_dilation_10,scene,0.08530667448718472,0.07015483346438635
39,gaussian_attack_100_dilation_10,texture,0.08040044926977952,0.0675532696230106
40,jpeg_10,color,0.029690118706988546,0.024160912047797287
41,jpeg_10,object,0.05799519604935066,0.04125797593708828
42,jpeg_10,part,0.047798299800309946,0.03290385855654352
43,jpeg_10,scene,0.04462670478574315,0.03607957196140992
44,jpeg_10,texture,0.05924116951017127,0.043860255148848074
45,jpeg_25,color,0.03156291636506846,0.03156291636506846
46,jpeg_25,object,0.07937230297702252,0.05780572534462591
47,jpeg_25,part,0.07720380027028624,0.0591725733631667
48,jpeg_25,scene,0.06261070870552927,0.051148087887227266
49,jpeg_25,texture,0.08036090056627178,0.058135622739108064
50,jpeg_50,color,0.04821372938508419,0.04821372938508419
51,jpeg_50,object,0.09456561661129688,0.07179483828933127
52,jpeg_50,part,0.09828319329895206,0.06580972247601112
53,jpeg_50,scene,0.08457204746337078,0.06857145709351399
54,jpeg_50,texture,0.07956272377254624,0.06887118970087816
55,original_df,color,0.038467575165854924,0.038467575165854924
56,original_df,object,0.06365185635550713,0.04936467713378325
57,original_df,part,0.05042613179352149,0.04126234175598143
58,original_df,scene,0.05279293429232236,0.04359962566481488
59,original_df,texture,0.057715914326855626,0.04949988214937375
