,dataset_name,category,count(*)
0,brightening_100,object,11
1,brightening_100,scene,63
2,brightening_100,texture,12
3,brightening_50,object,11
4,brightening_50,scene,62
5,brightening_50,texture,12
6,brightening_attack_100,object,13
7,brightening_attack_100,scene,64
8,brightening_attack_100,texture,9
9,brightening_attack_100_dilate_10,object,13
10,brightening_attack_100_dilate_10,scene,63
11,brightening_attack_100_dilate_10,texture,9
12,gaussian_100,object,9
13,gaussian_100,part,1
14,gaussian_100,scene,32
15,gaussian_100,texture,39
16,gaussian_50,object,35
17,gaussian_50,part,2
18,gaussian_50,scene,69
19,gaussian_50,texture,23
20,gaussian_attack_100,object,13
21,gaussian_attack_100,scene,65
22,gaussian_attack_100,texture,10
23,gaussian_attack_100_dilation_10,object,14
24,gaussian_attack_100_dilation_10,part,1
25,gaussian_attack_100_dilation_10,scene,64
26,gaussian_attack_100_dilation_10,texture,10
27,jpeg_10,object,22
28,jpeg_10,scene,75
29,jpeg_10,texture,19
30,jpeg_25,object,15
31,jpeg_25,scene,77
32,jpeg_25,texture,17
33,jpeg_50,object,10
34,jpeg_50,scene,66
35,jpeg_50,texture,12
